每日AI资讯抓取统计
生成时间：2026-04-29 16:49
候选资讯总数：0
正文资讯总数：0

分站点统计：
站点 | 启用 | 权重 | 计划抓取 | 抓取数 | 筛后数 | 去重后数 | 最终入选数 | 状态 | 备注
----------------------------------------------------------------------------------------------------
量子位 | 是 | 1.35 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='www.qbitai.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
新智元 | 是 | 1.30 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='aiera.com.cn', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
稀土掘金 AI | 是 | 1.24 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='juejin.cn', port=443): Max retries exceeded with url: /more_posts/ai (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
AIbase | 是 | 1.20 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='news.aibase.com', port=443): Max retries exceeded with url: /zh/daily (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
36Kr AI | 是 | 1.16 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='36kr.com', port=443): Max retries exceeded with url: /information/AI/ (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
AIHotToday | 是 | 1.10 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='aihot.today', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
AI方案库 | 是 | 1.06 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='d.aigclink.ai', port=443): Max retries exceeded with url: /?v=8f252a54730e49f4b8caf897b7ae49f6 (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
Pandaily AI | 是 | 1.04 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='pandaily.com', port=443): Max retries exceeded with url: /feed (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
MarkTechPost | 是 | 1.25 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='www.marktechpost.com', port=443): Max retries exceeded with url: /category/artificial-intelligence/feed/ (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
TechCrunch AI | 是 | 1.20 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='techcrunch.com', port=443): Max retries exceeded with url: /category/artificial-intelligence/feed/ (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
Tech Funding News AI Funding | 是 | 1.14 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='techfundingnews.com', port=443): Max retries exceeded with url: /tag/artificial-intelligence/ (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPSConnection(host='127.0.0.1', port=9): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
