每日AI资讯抓取统计
生成时间：2026-04-29 17:05
候选资讯总数：99
正文资讯总数：21

分站点统计：
站点 | 启用 | 权重 | 计划抓取 | 抓取数 | 筛后数 | 去重后数 | 最终入选数 | 状态 | 备注
----------------------------------------------------------------------------------------------------
量子位 | 是 | 1.35 | 10 | 10 | 6 | 6 | 4 | ok | 
新智元 | 是 | 1.30 | 10 | 10 | 10 | 10 | 5 | ok | 
稀土掘金 AI | 是 | 1.24 | 10 | 10 | 10 | 10 | 0 | ok | 
AIbase | 是 | 1.20 | 10 | 10 | 2 | 2 | 1 | ok | 
36Kr AI | 是 | 1.16 | 10 | 10 | 8 | 8 | 5 | ok | 
AIHotToday | 是 | 1.10 | 10 | 10 | 2 | 2 | 1 | ok | 
AI方案库 | 是 | 1.06 | 10 | 0 | 0 | 0 | 0 | empty | 
Pandaily AI | 是 | 1.04 | 10 | 6 | 6 | 6 | 0 | ok | 
MarkTechPost | 是 | 1.25 | 10 | 0 | 0 | 0 | 0 | empty | 
TechCrunch AI | 是 | 1.20 | 10 | 10 | 9 | 9 | 2 | ok | 
Tech Funding News AI Funding | 是 | 1.14 | 10 | 3 | 2 | 2 | 2 | ok | 
NVIDIA Developer Blog | 是 | 1.15 | 10 | 10 | 2 | 2 | 1 | ok | 
Anthropic Blog | 是 | 1.10 | 10 | 10 | 1 | 1 | 0 | ok | 
Papers with Code | 是 | 1.08 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /papers/trending (Caused by ConnectTimeoutError(<HTTPSConnection(host='huggingface.co', port=443) at 0x2000f2b7390>, 'Connection to huggingface.co timed out. (connect timeout=20)'))
arXiv cs.AI | 是 | 1.18 | 10 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out.
